Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Suaeda maritima/Salicornia,Suaeda,,maritima/salicornia,NA,NA,,,,FALSE,1.1,,,Suaeda,,maritima/salicornia,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Suaeda maritima/Sesuvium,Suaeda,,maritima/sesuvium,NA,NA,,,,FALSE,1.1,,,Suaeda,,maritima/sesuvium,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Amaranthus cruentus/Amaranthus,Amaranthus,,cruentus/amaranthus,NA,NA,,,,FALSE,1.1,,,Amaranthus,,cruentus/amaranthus,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Kyphocarpa angustifolia,Kyphocarpa,,angustifolia,NA,NA,,,kew-2867934,TRUE,1.1,Accepted,Amaranthaceae,Kyphocarpa,,angustifolia,,,(Moq.) Lopr.,kew-2867934,Accepted,FALSE,FALSE,FALSE,2020-01-06
Kyphocarpa trichinoides,Kyphocarpa,,trichinoides,NA,NA,,,tro-1100976,TRUE,1.1,Accepted,Amaranthaceae,Kyphocarpa,,trichinoides,,,Lopr.,tro-1100976,Accepted,FALSE,FALSE,FALSE,2020-01-06
Hebanthe eriantha,Hebanthe,,eriantha,NA,NA,,,kew-2840360,TRUE,1.1,Accepted,Amaranthaceae,Hebanthe,,eriantha,,,(Poir.) Pedersen,kew-2840360,Accepted,FALSE,FALSE,FALSE,2020-01-06
Hebanthe occidentalis var. occidentalis,Hebanthe,,occidentalis,NA,var.,occidentalis,,tro-50294154,TRUE,1.1,Synonym,Amaranthaceae,Hebanthe,,occidentalis,,,(R.E.Fr.) Borsch & Pedersen,kew-2840366,Accepted,FALSE,FALSE,FALSE,2020-01-06
Charpentiera ovata var. ovata,Charpentiera,,ovata,NA,var.,ovata,,kew-2715943,TRUE,1.1,Accepted,Amaranthaceae,Charpentiera,,ovata,,,Gaudich.,kew-2715943,Accepted,FALSE,FALSE,TRUE,2020-01-06
Nototrichium sandwicense,Nototrichium,,sandwicense,NA,NA,,,tro-1100276,TRUE,1.1,Unresolved,Amaranthaceae,Nototrichium,,sandwicense,,,Hillebr.,tro-1100276,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Nototrichium humile,Nototrichium,,humile,NA,NA,,,tro-1100274,TRUE,1.1,Unresolved,Amaranthaceae,Nototrichium,,humile,,,Hillebr.,tro-1100274,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Tidestromia suffruticosa var. suffruticosa,Tidestromia,,suffruticosa,NA,var.,suffruticosa,,tro-50233902,TRUE,1.1,Synonym,Amaranthaceae,Tidestromia,,suffruticosa,,,(Torr.) Standl.,tro-1100472,Accepted,FALSE,FALSE,FALSE,2020-01-06
Tidestromia lanuginosa subsp. lanuginosa,Tidestromia,,lanuginosa,NA,subsp.,lanuginosa,,tro-50233903,TRUE,1.1,Synonym,Amaranthaceae,Tidestromia,,lanuginosa,,,(Nutt.) Standl.,tro-1101049,Accepted,FALSE,FALSE,FALSE,2020-01-06
Alternanthera paronychioides var. chacoensis,Alternanthera,,paronychioides,NA,var.,chacoensis,,kew-2631325,FALSE,1.1,Accepted,Amaranthaceae,Alternanthera,,paronychioides,,,A.St.-Hil.,kew-2631325,Accepted,FALSE,FALSE,TRUE,2020-01-06
Alternanthera dentata,Alternanthera,,dentata,NA,NA,,,tro-1101306,TRUE,1.1,Synonym,Amaranthaceae,Alternanthera,,brasiliana,,,(L.) Kuntze,kew-2631098,Accepted,FALSE,FALSE,FALSE,2020-01-06
Celosia polystachia,Celosia,,polystachia,NA,NA,,,kew-2707923,TRUE,1.1,Accepted,Amaranthaceae,Celosia,,polystachia,,,(Forssk.) C.C.Towns.,kew-2707923,Accepted,FALSE,FALSE,FALSE,2020-01-06
Celosia argentea var. plumosa,Celosia,,argentea,NA,var.,plumosa,,kew-2707791,FALSE,1.1,Accepted,Amaranthaceae,Celosia,,argentea,,,L.,kew-2707791,Accepted,FALSE,FALSE,TRUE,2020-01-06
Euxolus sclerantoides,Euxolus,,sclerantoides,NA,NA,,,kew-2805560,TRUE,1.1,Synonym,Amaranthaceae,Amaranthus,,scleranthoides,,,(Andersson) Andersson,kew-2633093,Accepted,TRUE,FALSE,FALSE,2020-01-06
Amaranthus blitum subsp. blitum,Amaranthus,,blitum,NA,subsp.,blitum,,tro-1101182,TRUE,1.1,Synonym,Amaranthaceae,Amaranthus,,blitum,,,L.,kew-2632714,Accepted,FALSE,FALSE,FALSE,2020-01-06
Amaranthus powellii subsp. powellii,Amaranthus,,powellii,NA,subsp.,powellii,,kew-2633044,TRUE,1.1,Accepted,Amaranthaceae,Amaranthus,,powellii,,,S.Watson,kew-2633044,Accepted,FALSE,FALSE,TRUE,2020-01-06
